username,role,email,password,type,title,report_date,item_name,amount,currency
user0,user,user0@example.com,password123,inventory,Report 0,2025-05-16,Item C,724,USD
user1,user,user1@example.com,password123,inventory,Report 1,2025-05-16,Item C,285,USD
user2,user,user2@example.com,password123,finance,Report 2,2025-05-16,Item B,371,USD
user3,user,user3@example.com,password123,inventory,Report 3,2025-05-16,Item B,620,USD
user4,admin,user4@example.com,password123,sales,Report 4,2025-05-16,Item A,847,USD
user5,user,user5@example.com,password123,inventory,Report 5,2025-05-16,Item C,596,USD
user6,user,user6@example.com,password123,finance,Report 6,2025-05-16,Item B,496,USD
user7,admin,user7@example.com,password123,finance,Report 7,2025-05-16,Item C,534,USD
user8,admin,user8@example.com,password123,sales,Report 8,2025-05-16,Item A,733,USD
user9,admin,user9@example.com,password123,finance,Report 9,2025-05-16,Item B,884,USD
user10,user,user10@example.com,password123,sales,Report 10,2025-05-16,Item A,100,USD
user11,user,user11@example.com,password123,finance,Report 11,2025-05-16,Item C,722,USD
user12,user,user12@example.com,password123,finance,Report 12,2025-05-16,Item A,581,USD
user13,admin,user13@example.com,password123,sales,Report 13,2025-05-16,Item C,657,USD
user14,user,user14@example.com,password123,sales,Report 14,2025-05-16,Item A,934,USD
user15,admin,user15@example.com,password123,finance,Report 15,2025-05-16,Item A,534,USD
user16,user,user16@example.com,password123,inventory,Report 16,2025-05-16,Item B,598,USD
user17,admin,user17@example.com,password123,finance,Report 17,2025-05-16,Item B,678,USD
user18,admin,user18@example.com,password123,sales,Report 18,2025-05-16,Item B,862,USD
user19,admin,user19@example.com,password123,inventory,Report 19,2025-05-16,Item C,294,USD
user20,user,user20@example.com,password123,finance,Report 20,2025-05-16,Item B,209,USD
user21,admin,user21@example.com,password123,inventory,Report 21,2025-05-16,Item A,701,USD
user22,user,user22@example.com,password123,sales,Report 22,2025-05-16,Item B,758,USD
user23,user,user23@example.com,password123,sales,Report 23,2025-05-16,Item B,160,USD
user24,user,user24@example.com,password123,sales,Report 24,2025-05-16,Item C,276,USD
user25,user,user25@example.com,password123,finance,Report 25,2025-05-16,Item B,1020,USD
user26,admin,user26@example.com,password123,sales,Report 26,2025-05-16,Item A,922,USD
